Reading 1,Reading 2,Reading 3,Reading 4,Label
239,230,130,135,empty
239,230,130,134,empty
238,230,129,135,empty
239,230,130,134,empty
239,230,130,135,empty
238,230,130,134,empty
239,230,130,135,empty
239,230,130,135,empty
239,230,129,135,empty
239,230,130,135,empty
238,230,130,135,empty
239,230,129,135,empty
239,230,129,135,empty
239,230,129,135,empty
239,230,130,134,empty
239,230,130,135,empty
239,230,130,135,empty
239,230,130,135,empty
239,230,130,135,empty
239,230,130,135,empty
239,231,130,135,empty
239,230,130,135,empty
239,230,129,135,empty
239,230,130,135,empty
239,230,129,135,empty
239,230,129,135,empty
239,230,130,134,empty
239,230,130,135,empty
238,230,130,134,empty
239,230,129,135,empty
239,230,130,134,empty
239,230,130,134,empty
239,230,130,134,empty
239,230,130,134,empty
239,230,130,135,empty
239,230,129,135,empty
239,230,130,134,empty
239,230,130,134,empty
238,230,130,134,empty
239,229,130,134,empty
239,230,129,134,empty
238,230,130,134,empty
239,230,129,135,empty
239,230,129,135,empty
239,230,129,135,empty
239,230,129,135,empty
239,230,130,135,empty
239,230,130,135,empty
239,231,130,134,empty
239,230,130,135,empty
239,230,130,134,empty
239,230,130,135,empty
239,230,130,135,empty
239,230,130,134,empty
239,230,129,135,empty
239,230,130,135,empty
239,230,130,135,empty
239,230,129,134,empty
239,230,130,135,empty
239,230,130,135,empty
239,230,130,134,empty
239,230,130,135,empty
239,230,130,134,empty
239,230,130,135,empty
239,230,130,135,empty
239,230,130,135,empty
239,230,130,135,empty
239,230,130,135,empty
239,230,130,134,empty
239,231,130,135,empty
239,230,130,135,empty
239,230,130,134,empty
239,230,129,135,empty
239,230,130,135,empty
239,230,130,135,empty
239,230,130,134,empty
239,230,130,134,empty
239,230,130,134,empty
239,230,130,134,empty
239,230,130,135,empty
239,230,130,135,empty
239,230,129,134,empty
239,230,129,134,empty
239,230,130,134,empty
239,230,129,134,empty
239,230,130,135,empty
239,230,130,134,empty
239,230,129,134,empty
239,230,130,134,empty
239,230,130,134,empty
239,230,129,134,empty
239,230,130,135,empty
239,230,129,135,empty
239,230,130,135,empty
239,230,130,134,empty
239,230,130,135,empty
239,230,130,134,empty
239,230,130,135,empty
239,230,130,135,empty
239,230,129,134,empty
239,230,130,134,empty
239,230,130,135,empty
239,230,130,134,empty
239,230,130,135,empty
239,230,130,134,empty
239,230,130,134,empty
239,230,130,135,empty
239,230,130,135,empty
239,230,130,135,empty
239,230,130,135,empty
239,230,130,135,empty
239,230,130,135,empty
239,230,130,135,empty
239,230,130,135,empty
239,230,130,135,empty
239,230,129,135,empty
239,230,130,134,empty
239,230,130,135,empty
239,230,130,135,empty
239,230,130,135,empty
239,230,130,135,empty
239,230,130,136,empty
239,230,130,135,empty
239,231,130,135,empty
239,230,130,135,empty
239,230,130,135,empty
239,230,130,135,empty
240,231,130,135,empty
239,231,130,135,empty
239,231,130,136,empty
239,231,130,136,empty
239,230,130,135,empty
239,231,130,136,empty
240,231,131,136,empty
239,231,130,136,empty
239,230,130,135,empty
239,231,131,136,empty
239,231,131,135,empty
239,231,130,135,empty
239,231,131,135,empty
240,231,130,136,empty
239,231,130,135,empty
239,231,131,136,empty
239,231,130,135,empty
239,230,130,135,empty
240,231,130,136,empty
239,231,130,135,empty
239,230,130,135,empty
240,231,130,135,empty
239,231,131,135,empty
239,231,130,136,empty
239,231,131,135,empty
239,231,131,135,empty
239,231,131,136,empty
239,231,131,136,empty
239,231,131,135,empty
239,231,131,136,empty
