Reading 1,Reading 2,Reading 3,Reading 4,Reading 5,Reading 6,Reading 7,Reading 8,Reading 9,Reading 10,Label,Baseline
322,339,300,318,302,315,109,116,211,322,lean_forward,"30.589473684210525,35.88421052631579,54.56842105263158,34.95789473684211,67.14736842105263,31.96842105263158,103.73684210526316,93.05263157894737,124.85263157894737,30.63157894736842"
322,339,300,318,301,314,109,116,211,322,lean_forward,"30.589473684210525,35.88421052631579,54.56842105263158,34.95789473684211,67.14736842105263,31.96842105263158,103.73684210526316,93.05263157894737,124.85263157894737,30.63157894736842"
322,339,300,318,302,315,109,116,209,322,lean_forward,"30.589473684210525,35.88421052631579,54.56842105263158,34.95789473684211,67.14736842105263,31.96842105263158,103.73684210526316,93.05263157894737,124.85263157894737,30.63157894736842"
319,337,298,316,300,313,108,116,208,320,lean_forward,"30.589473684210525,35.88421052631579,54.56842105263158,34.95789473684211,67.14736842105263,31.96842105263158,103.73684210526316,93.05263157894737,124.85263157894737,30.63157894736842"
320,337,298,316,300,313,108,116,207,320,lean_forward,"30.589473684210525,35.88421052631579,54.56842105263158,34.95789473684211,67.14736842105263,31.96842105263158,103.73684210526316,93.05263157894737,124.85263157894737,30.63157894736842"
320,338,299,317,300,313,108,116,206,320,lean_forward,"30.589473684210525,35.88421052631579,54.56842105263158,34.95789473684211,67.14736842105263,31.96842105263158,103.73684210526316,93.05263157894737,124.85263157894737,30.63157894736842"
320,337,299,316,300,313,108,116,207,320,lean_forward,"30.589473684210525,35.88421052631579,54.56842105263158,34.95789473684211,67.14736842105263,31.96842105263158,103.73684210526316,93.05263157894737,124.85263157894737,30.63157894736842"
320,338,299,317,300,314,108,116,209,321,lean_forward,"30.589473684210525,35.88421052631579,54.56842105263158,34.95789473684211,67.14736842105263,31.96842105263158,103.73684210526316,93.05263157894737,124.85263157894737,30.63157894736842"
320,338,299,317,300,314,108,116,210,320,lean_forward,"30.589473684210525,35.88421052631579,54.56842105263158,34.95789473684211,67.14736842105263,31.96842105263158,103.73684210526316,93.05263157894737,124.85263157894737,30.63157894736842"
320,338,299,317,301,314,108,116,210,320,lean_forward,"30.589473684210525,35.88421052631579,54.56842105263158,34.95789473684211,67.14736842105263,31.96842105263158,103.73684210526316,93.05263157894737,124.85263157894737,30.63157894736842"
321,338,299,317,301,314,108,116,210,321,lean_forward,"30.589473684210525,35.88421052631579,54.56842105263158,34.95789473684211,67.14736842105263,31.96842105263158,103.73684210526316,93.05263157894737,124.85263157894737,30.63157894736842"
321,338,299,317,301,314,108,116,209,321,lean_forward,"30.589473684210525,35.88421052631579,54.56842105263158,34.95789473684211,67.14736842105263,31.96842105263158,103.73684210526316,93.05263157894737,124.85263157894737,30.63157894736842"
321,338,299,317,301,314,108,116,208,321,lean_forward,"30.589473684210525,35.88421052631579,54.56842105263158,34.95789473684211,67.14736842105263,31.96842105263158,103.73684210526316,93.05263157894737,124.85263157894737,30.63157894736842"
321,338,299,317,301,314,108,116,209,321,lean_forward,"30.589473684210525,35.88421052631579,54.56842105263158,34.95789473684211,67.14736842105263,31.96842105263158,103.73684210526316,93.05263157894737,124.85263157894737,30.63157894736842"
321,338,299,317,301,314,109,116,208,321,lean_forward,"30.589473684210525,35.88421052631579,54.56842105263158,34.95789473684211,67.14736842105263,31.96842105263158,103.73684210526316,93.05263157894737,124.85263157894737,30.63157894736842"
321,338,299,317,301,314,109,116,208,321,lean_forward,"30.589473684210525,35.88421052631579,54.56842105263158,34.95789473684211,67.14736842105263,31.96842105263158,103.73684210526316,93.05263157894737,124.85263157894737,30.63157894736842"
321,338,299,317,301,314,109,116,209,321,lean_forward,"30.589473684210525,35.88421052631579,54.56842105263158,34.95789473684211,67.14736842105263,31.96842105263158,103.73684210526316,93.05263157894737,124.85263157894737,30.63157894736842"
321,339,300,318,302,315,109,116,210,321,lean_forward,"30.589473684210525,35.88421052631579,54.56842105263158,34.95789473684211,67.14736842105263,31.96842105263158,103.73684210526316,93.05263157894737,124.85263157894737,30.63157894736842"
322,340,301,319,302,316,109,116,210,322,lean_forward,"30.589473684210525,35.88421052631579,54.56842105263158,34.95789473684211,67.14736842105263,31.96842105263158,103.73684210526316,93.05263157894737,124.85263157894737,30.63157894736842"
322,339,301,319,302,316,108,116,210,322,lean_forward,"30.589473684210525,35.88421052631579,54.56842105263158,34.95789473684211,67.14736842105263,31.96842105263158,103.73684210526316,93.05263157894737,124.85263157894737,30.63157894736842"
322,338,300,318,302,315,110,115,210,322,lean_forward,"30.589473684210525,35.88421052631579,54.56842105263158,34.95789473684211,67.14736842105263,31.96842105263158,103.73684210526316,93.05263157894737,124.85263157894737,30.63157894736842"
322,338,300,318,302,315,108,116,210,322,lean_forward,"30.589473684210525,35.88421052631579,54.56842105263158,34.95789473684211,67.14736842105263,31.96842105263158,103.73684210526316,93.05263157894737,124.85263157894737,30.63157894736842"
322,338,300,318,302,315,108,115,210,322,lean_forward,"30.589473684210525,35.88421052631579,54.56842105263158,34.95789473684211,67.14736842105263,31.96842105263158,103.73684210526316,93.05263157894737,124.85263157894737,30.63157894736842"
322,338,301,318,302,314,108,115,209,322,lean_forward,"30.589473684210525,35.88421052631579,54.56842105263158,34.95789473684211,67.14736842105263,31.96842105263158,103.73684210526316,93.05263157894737,124.85263157894737,30.63157894736842"
322,338,301,319,302,314,108,115,210,322,lean_forward,"30.589473684210525,35.88421052631579,54.56842105263158,34.95789473684211,67.14736842105263,31.96842105263158,103.73684210526316,93.05263157894737,124.85263157894737,30.63157894736842"
322,338,301,319,302,314,108,115,210,322,lean_forward,"30.589473684210525,35.88421052631579,54.56842105263158,34.95789473684211,67.14736842105263,31.96842105263158,103.73684210526316,93.05263157894737,124.85263157894737,30.63157894736842"
322,338,301,319,303,315,108,116,210,322,lean_forward,"30.589473684210525,35.88421052631579,54.56842105263158,34.95789473684211,67.14736842105263,31.96842105263158,103.73684210526316,93.05263157894737,124.85263157894737,30.63157894736842"
