Reading 1,Reading 2,Reading 3,Reading 4,Label,Baseline
564,566,577,567,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
569,572,582,573,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
574,576,585,576,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
577,578,587,578,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
585,583,591,581,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
580,579,589,578,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
578,577,587,576,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
580,576,587,576,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
576,574,585,574,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
575,573,584,573,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
576,574,585,574,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
580,573,586,574,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
581,577,590,579,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
579,575,588,577,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
576,576,590,580,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
573,576,591,579,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
568,572,588,576,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
567,573,589,576,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
565,571,588,575,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
567,571,588,574,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
570,573,588,575,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
570,573,588,575,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
571,572,588,574,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
572,573,588,574,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
573,572,586,573,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
573,573,587,574,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
572,573,588,575,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
571,575,590,576,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
574,577,592,579,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
571,574,590,577,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
569,573,589,576,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
569,573,589,576,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
566,572,588,575,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
560,567,584,570,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
559,566,582,569,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
559,566,582,569,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
560,566,581,568,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
559,567,580,568,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
560,569,580,568,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
561,570,579,569,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
562,572,579,568,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
562,574,579,569,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
563,574,578,568,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
563,574,577,568,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
564,575,577,568,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
564,576,577,567,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
