Reading 1,Reading 2,Reading 3,Reading 4,Reading 5,Reading 6,Reading 7,Reading 8,Label,Baseline
550,621,529,508,85,146,337,267,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
550,622,530,507,84,147,337,267,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
550,622,530,507,83,148,335,268,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
548,622,530,508,83,148,336,270,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
548,623,531,508,84,149,336,271,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
546,623,530,509,84,149,334,272,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
546,622,529,508,83,149,333,271,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
546,622,529,508,85,149,331,269,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
547,621,529,508,85,149,331,270,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
547,622,529,508,82,150,329,271,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
549,621,530,507,85,150,327,272,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
549,622,527,508,85,151,329,272,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
548,621,526,508,85,150,331,270,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
550,622,527,508,85,149,333,267,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
549,621,526,507,85,148,333,266,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
550,620,527,506,84,147,332,267,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
550,619,528,505,84,145,331,266,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
551,619,528,507,85,146,331,266,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
552,620,529,506,84,148,331,267,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
552,620,529,507,85,147,331,267,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
552,619,528,505,84,148,333,268,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
