Reading 1,Reading 2,Reading 3,Reading 4,Reading 5,Reading 6,Reading 7,Reading 8,Reading 9,Reading 10,Label,Baseline
350,406,445,273,267,285,139,131,150,350,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
351,407,447,274,268,287,140,133,151,351,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
353,415,450,278,272,291,143,136,154,354,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
354,419,452,279,273,292,143,135,154,354,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
354,420,452,279,273,292,143,134,153,354,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
354,419,452,278,272,286,142,133,152,354,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
353,425,452,277,271,285,141,133,153,353,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
353,432,454,278,273,287,142,134,153,354,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
361,432,464,289,282,293,142,136,155,362,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
362,434,461,285,281,293,139,130,153,361,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
362,436,460,282,284,295,142,130,155,362,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
360,442,458,285,287,300,144,134,158,360,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
384,462,474,321,315,322,173,163,183,383,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
383,458,474,323,324,322,174,160,188,383,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
379,448,470,320,351,322,169,157,181,380,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
377,444,467,323,348,321,163,154,178,377,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
373,444,463,318,343,317,153,147,171,372,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
368,440,460,318,341,314,154,142,164,368,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
368,440,460,313,342,313,152,141,164,368,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
372,441,463,307,341,317,154,143,166,371,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
371,439,462,306,340,315,153,143,164,371,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
370,438,462,307,331,317,152,142,164,370,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
369,437,462,306,322,316,151,141,163,369,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
