Reading 1,Reading 2,Reading 3,Reading 4,Label,Baseline
640,502,572,460,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
642,498,570,457,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
650,507,581,468,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
650,505,580,467,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
656,514,589,477,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
652,506,583,468,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
649,505,581,466,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
649,505,581,466,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
648,505,580,466,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
646,506,581,467,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
645,507,580,469,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
643,508,580,471,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
644,508,580,473,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
641,508,579,472,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
644,509,580,475,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
645,510,581,476,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
645,511,581,478,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
646,513,582,479,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
646,514,581,480,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
645,514,581,481,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
645,514,581,481,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
644,514,581,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
642,515,581,483,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
642,516,581,485,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
642,518,582,487,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
644,518,582,487,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
641,517,582,487,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
642,519,582,488,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
643,520,582,489,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
644,521,583,490,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
642,523,583,493,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
641,523,584,493,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
642,524,584,494,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
643,525,585,495,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
641,525,585,496,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
641,525,584,495,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
639,524,584,496,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
641,525,584,496,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,524,583,496,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,524,583,496,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,524,585,497,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,524,585,498,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
635,524,585,498,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
635,524,584,498,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
635,524,584,498,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
635,524,584,499,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
635,524,585,498,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,524,585,498,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
635,524,584,498,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,524,585,499,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,524,585,499,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,525,586,499,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,525,586,499,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,524,586,498,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,524,586,498,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
635,524,586,497,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
635,524,586,497,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
634,524,587,497,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
634,524,587,496,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
634,524,587,497,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
632,524,586,496,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
633,524,587,496,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
632,524,587,495,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
635,525,588,497,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
635,525,589,497,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,525,590,497,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
635,523,590,496,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
635,523,590,496,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
634,522,590,495,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
634,522,591,494,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
635,522,590,495,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
635,522,591,495,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,522,591,495,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
634,522,591,495,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
635,522,591,495,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
634,522,591,495,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
634,522,591,495,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
633,522,591,495,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
633,521,591,495,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
632,522,591,494,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
633,522,592,495,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
633,522,592,495,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
633,521,592,494,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
634,522,592,494,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
634,521,592,494,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
633,521,592,494,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
632,520,591,493,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
631,520,590,493,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
632,520,590,492,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
629,518,589,490,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
629,517,588,489,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
628,517,588,489,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
628,517,587,489,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
629,518,589,491,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
626,516,586,488,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
628,518,588,490,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
631,519,590,492,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
629,518,587,490,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
628,517,586,489,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
629,518,588,490,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
631,519,589,492,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
631,519,589,492,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
631,519,589,492,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
631,520,589,493,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
632,520,590,493,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
632,521,590,494,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
632,520,590,493,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
632,521,590,493,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
633,521,591,494,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
634,522,592,494,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
634,522,591,494,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,522,593,495,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,522,592,495,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,523,593,495,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,522,593,495,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,522,593,495,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
635,523,594,495,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
635,523,594,496,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
635,523,593,495,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
635,523,593,495,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,523,594,496,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,523,594,496,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,523,595,496,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,524,595,496,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,524,595,497,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,524,595,497,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,523,595,496,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
635,523,595,496,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
635,523,595,496,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
635,523,595,496,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,523,595,496,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
635,523,596,496,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,524,596,497,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
637,523,596,497,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,523,596,496,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,522,596,496,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
