Reading 1,Reading 2,Reading 3,Reading 4,Reading 5,Reading 6,Reading 7,Reading 8,Label,Baseline
537,620,498,463,410,139,194,178,lean left,"217.0,153.11340206185568,101.18556701030928,69.71134020618557,70.43298969072166,146.1443298969072,190.63917525773195,169.02061855670104"
540,622,499,466,408,141,195,181,lean left,"217.0,153.11340206185568,101.18556701030928,69.71134020618557,70.43298969072166,146.1443298969072,190.63917525773195,169.02061855670104"
542,624,500,466,406,142,197,181,lean left,"217.0,153.11340206185568,101.18556701030928,69.71134020618557,70.43298969072166,146.1443298969072,190.63917525773195,169.02061855670104"
544,627,503,468,407,141,196,178,lean left,"217.0,153.11340206185568,101.18556701030928,69.71134020618557,70.43298969072166,146.1443298969072,190.63917525773195,169.02061855670104"
541,622,500,464,403,140,192,177,lean left,"217.0,153.11340206185568,101.18556701030928,69.71134020618557,70.43298969072166,146.1443298969072,190.63917525773195,169.02061855670104"
537,618,498,462,403,141,186,176,lean left,"217.0,153.11340206185568,101.18556701030928,69.71134020618557,70.43298969072166,146.1443298969072,190.63917525773195,169.02061855670104"
538,620,497,463,405,143,185,176,lean left,"217.0,153.11340206185568,101.18556701030928,69.71134020618557,70.43298969072166,146.1443298969072,190.63917525773195,169.02061855670104"
533,615,492,459,403,142,182,174,lean left,"217.0,153.11340206185568,101.18556701030928,69.71134020618557,70.43298969072166,146.1443298969072,190.63917525773195,169.02061855670104"
531,615,492,458,404,142,181,174,lean left,"217.0,153.11340206185568,101.18556701030928,69.71134020618557,70.43298969072166,146.1443298969072,190.63917525773195,169.02061855670104"
535,619,495,462,407,145,182,176,lean left,"217.0,153.11340206185568,101.18556701030928,69.71134020618557,70.43298969072166,146.1443298969072,190.63917525773195,169.02061855670104"
535,621,492,462,411,147,180,170,lean left,"217.0,153.11340206185568,101.18556701030928,69.71134020618557,70.43298969072166,146.1443298969072,190.63917525773195,169.02061855670104"
536,623,492,464,413,151,181,166,lean left,"217.0,153.11340206185568,101.18556701030928,69.71134020618557,70.43298969072166,146.1443298969072,190.63917525773195,169.02061855670104"
537,627,501,465,417,154,180,164,lean left,"217.0,153.11340206185568,101.18556701030928,69.71134020618557,70.43298969072166,146.1443298969072,190.63917525773195,169.02061855670104"
537,628,507,465,421,157,179,165,lean left,"217.0,153.11340206185568,101.18556701030928,69.71134020618557,70.43298969072166,146.1443298969072,190.63917525773195,169.02061855670104"
536,627,507,466,424,160,179,164,lean left,"217.0,153.11340206185568,101.18556701030928,69.71134020618557,70.43298969072166,146.1443298969072,190.63917525773195,169.02061855670104"
537,628,507,466,427,163,179,165,lean left,"217.0,153.11340206185568,101.18556701030928,69.71134020618557,70.43298969072166,146.1443298969072,190.63917525773195,169.02061855670104"
538,628,508,467,430,166,180,166,lean left,"217.0,153.11340206185568,101.18556701030928,69.71134020618557,70.43298969072166,146.1443298969072,190.63917525773195,169.02061855670104"
533,623,505,465,430,165,180,165,lean left,"217.0,153.11340206185568,101.18556701030928,69.71134020618557,70.43298969072166,146.1443298969072,190.63917525773195,169.02061855670104"
540,629,511,469,436,167,182,167,lean left,"217.0,153.11340206185568,101.18556701030928,69.71134020618557,70.43298969072166,146.1443298969072,190.63917525773195,169.02061855670104"
539,628,513,468,438,166,179,168,lean left,"217.0,153.11340206185568,101.18556701030928,69.71134020618557,70.43298969072166,146.1443298969072,190.63917525773195,169.02061855670104"
537,624,512,463,435,163,177,166,lean left,"217.0,153.11340206185568,101.18556701030928,69.71134020618557,70.43298969072166,146.1443298969072,190.63917525773195,169.02061855670104"
529,617,506,457,435,160,175,165,lean left,"217.0,153.11340206185568,101.18556701030928,69.71134020618557,70.43298969072166,146.1443298969072,190.63917525773195,169.02061855670104"
527,615,506,454,436,158,175,165,lean left,"217.0,153.11340206185568,101.18556701030928,69.71134020618557,70.43298969072166,146.1443298969072,190.63917525773195,169.02061855670104"
524,612,504,452,435,159,174,164,lean left,"217.0,153.11340206185568,101.18556701030928,69.71134020618557,70.43298969072166,146.1443298969072,190.63917525773195,169.02061855670104"
523,611,503,448,437,159,171,164,lean left,"217.0,153.11340206185568,101.18556701030928,69.71134020618557,70.43298969072166,146.1443298969072,190.63917525773195,169.02061855670104"
