Reading 1,Reading 2,Reading 3,Reading 4,Reading 5,Reading 6,Reading 7,Reading 8,Reading 9,Reading 10,Label,Baseline
215,273,308,392,492,465,115,128,171,215,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
215,273,308,392,492,465,115,128,171,215,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
215,273,308,392,492,466,115,128,171,215,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
215,274,308,392,491,466,115,128,171,215,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
214,273,308,392,491,466,116,129,171,214,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
214,273,308,391,491,465,115,128,171,214,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
214,274,308,392,491,466,116,129,171,214,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
213,273,306,392,491,465,115,128,171,214,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
212,271,303,392,490,465,113,127,170,212,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
213,272,305,393,491,467,115,130,173,213,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
211,271,305,392,491,467,113,129,171,211,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
212,272,306,393,491,468,116,129,171,212,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
214,275,309,395,493,469,117,132,175,215,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
216,277,310,396,494,471,119,133,176,216,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
216,277,311,396,494,471,119,133,176,216,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
216,277,311,396,494,471,120,133,176,216,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
216,277,311,396,494,471,119,133,177,216,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
216,278,310,396,494,471,119,133,176,216,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
