Reading 1,Reading 2,Reading 3,Reading 4,Reading 5,Reading 6,Reading 7,Reading 8,Label,Baseline
567,552,505,486,304,418,186,197,lean right,"216.29896907216494,157.38144329896906,106.63917525773196,64.41237113402062,78.9381443298969,167.58762886597938,195.15463917525773,152.05154639175257"
568,553,502,485,304,419,186,196,lean right,"216.29896907216494,157.38144329896906,106.63917525773196,64.41237113402062,78.9381443298969,167.58762886597938,195.15463917525773,152.05154639175257"
566,552,505,484,302,417,186,194,lean right,"216.29896907216494,157.38144329896906,106.63917525773196,64.41237113402062,78.9381443298969,167.58762886597938,195.15463917525773,152.05154639175257"
567,552,506,485,304,419,187,194,lean right,"216.29896907216494,157.38144329896906,106.63917525773196,64.41237113402062,78.9381443298969,167.58762886597938,195.15463917525773,152.05154639175257"
567,553,506,485,304,419,186,195,lean right,"216.29896907216494,157.38144329896906,106.63917525773196,64.41237113402062,78.9381443298969,167.58762886597938,195.15463917525773,152.05154639175257"
566,553,507,485,304,419,186,194,lean right,"216.29896907216494,157.38144329896906,106.63917525773196,64.41237113402062,78.9381443298969,167.58762886597938,195.15463917525773,152.05154639175257"
568,554,508,486,304,420,187,194,lean right,"216.29896907216494,157.38144329896906,106.63917525773196,64.41237113402062,78.9381443298969,167.58762886597938,195.15463917525773,152.05154639175257"
567,553,507,485,304,420,186,193,lean right,"216.29896907216494,157.38144329896906,106.63917525773196,64.41237113402062,78.9381443298969,167.58762886597938,195.15463917525773,152.05154639175257"
565,550,497,483,301,417,185,192,lean right,"216.29896907216494,157.38144329896906,106.63917525773196,64.41237113402062,78.9381443298969,167.58762886597938,195.15463917525773,152.05154639175257"
565,549,498,482,301,417,185,192,lean right,"216.29896907216494,157.38144329896906,106.63917525773196,64.41237113402062,78.9381443298969,167.58762886597938,195.15463917525773,152.05154639175257"
567,551,508,484,302,419,185,191,lean right,"216.29896907216494,157.38144329896906,106.63917525773196,64.41237113402062,78.9381443298969,167.58762886597938,195.15463917525773,152.05154639175257"
568,553,510,484,302,420,186,193,lean right,"216.29896907216494,157.38144329896906,106.63917525773196,64.41237113402062,78.9381443298969,167.58762886597938,195.15463917525773,152.05154639175257"
568,552,509,485,301,420,186,193,lean right,"216.29896907216494,157.38144329896906,106.63917525773196,64.41237113402062,78.9381443298969,167.58762886597938,195.15463917525773,152.05154639175257"
570,554,499,486,301,421,186,193,lean right,"216.29896907216494,157.38144329896906,106.63917525773196,64.41237113402062,78.9381443298969,167.58762886597938,195.15463917525773,152.05154639175257"
570,555,499,487,302,421,186,192,lean right,"216.29896907216494,157.38144329896906,106.63917525773196,64.41237113402062,78.9381443298969,167.58762886597938,195.15463917525773,152.05154639175257"
570,555,503,488,302,422,187,192,lean right,"216.29896907216494,157.38144329896906,106.63917525773196,64.41237113402062,78.9381443298969,167.58762886597938,195.15463917525773,152.05154639175257"
570,555,503,487,302,421,187,193,lean right,"216.29896907216494,157.38144329896906,106.63917525773196,64.41237113402062,78.9381443298969,167.58762886597938,195.15463917525773,152.05154639175257"
568,554,500,485,301,421,186,193,lean right,"216.29896907216494,157.38144329896906,106.63917525773196,64.41237113402062,78.9381443298969,167.58762886597938,195.15463917525773,152.05154639175257"
568,551,499,484,301,418,185,193,lean right,"216.29896907216494,157.38144329896906,106.63917525773196,64.41237113402062,78.9381443298969,167.58762886597938,195.15463917525773,152.05154639175257"
567,551,498,483,300,418,185,192,lean right,"216.29896907216494,157.38144329896906,106.63917525773196,64.41237113402062,78.9381443298969,167.58762886597938,195.15463917525773,152.05154639175257"
566,552,502,484,300,419,185,191,lean right,"216.29896907216494,157.38144329896906,106.63917525773196,64.41237113402062,78.9381443298969,167.58762886597938,195.15463917525773,152.05154639175257"
566,550,495,481,299,417,185,190,lean right,"216.29896907216494,157.38144329896906,106.63917525773196,64.41237113402062,78.9381443298969,167.58762886597938,195.15463917525773,152.05154639175257"
