Reading 1,Reading 2,Reading 3,Reading 4,Label,Baseline
513,612,455,585,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
513,613,455,586,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
513,613,455,586,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
513,613,456,585,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
513,613,456,585,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
513,613,456,582,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
513,614,456,579,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
511,614,457,577,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
511,615,459,574,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
511,615,458,573,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
510,615,461,572,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
511,616,462,571,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
511,617,463,569,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
513,617,464,566,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
514,617,464,564,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
514,617,465,563,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
515,619,466,563,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
515,618,467,563,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
514,619,468,564,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
513,618,469,564,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
512,619,469,564,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
511,620,469,565,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
510,620,469,566,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
508,620,468,568,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
506,621,468,570,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
505,620,467,572,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
504,620,467,576,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
505,620,467,578,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
503,620,469,580,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
502,620,468,581,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
501,620,469,582,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
501,619,469,584,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
500,619,470,585,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
500,620,471,586,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
502,620,471,586,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
502,619,472,587,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
501,620,473,586,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
502,619,473,586,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
502,619,474,586,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
502,619,474,585,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
503,620,475,585,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
502,620,475,585,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
501,620,475,584,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
501,620,476,584,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
501,620,476,583,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
501,620,477,583,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
501,620,478,584,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
501,620,479,584,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
501,620,479,583,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
501,620,480,584,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
501,621,480,584,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
500,621,480,584,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
500,621,481,584,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
500,621,481,584,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
500,621,481,584,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
498,621,481,583,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
