Reading 1,Reading 2,Reading 3,Reading 4,Reading 5,Reading 6,Reading 7,Reading 8,Label,Baseline
573,603,484,535,404,395,184,171,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
573,603,485,535,405,396,184,172,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
573,603,484,534,405,396,184,172,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
573,603,484,534,405,396,183,172,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
573,603,484,535,405,395,183,171,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
574,602,483,534,405,396,183,172,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
573,603,484,533,404,396,183,172,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
573,603,484,535,405,396,184,172,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
573,603,484,534,405,397,183,172,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
572,603,484,533,405,397,183,172,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
573,603,484,534,406,397,183,173,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
574,603,484,534,406,397,184,173,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
574,603,483,534,406,397,183,172,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
574,603,484,533,406,396,184,172,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
574,604,484,534,405,396,183,172,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
574,604,484,534,406,397,183,172,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
574,603,483,534,406,398,184,172,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
574,604,481,534,406,398,183,172,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
574,604,483,534,406,398,184,171,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
574,604,482,533,406,397,184,172,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
574,604,483,535,405,397,184,172,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
574,604,483,534,405,396,183,172,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
573,603,483,535,405,396,183,172,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
574,604,483,535,404,395,184,172,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
573,604,483,534,405,397,184,172,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
573,604,484,535,405,397,184,173,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
574,603,484,535,406,397,183,173,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
574,603,484,535,405,398,184,172,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
573,602,484,535,405,397,183,173,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
574,603,483,535,405,397,184,173,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
574,603,484,535,406,396,184,172,left leg cross,"236.98969072164948,150.53608247422682,108.78350515463917,69.68041237113403,68.36082474226804,132.30927835051546,191.79381443298968,171.7835051546392"
