Reading 1,Reading 2,Reading 3,Reading 4,Reading 5,Reading 6,Reading 7,Reading 8,Label,Baseline
542,579,538,497,344,300,205,235,proper,"158.06185567010309,148.79381443298968,63.07216494845361,59.47422680412371,74.3917525773196,163.05154639175257,192.84536082474227,177.8556701030928"
542,579,536,497,344,298,204,236,proper,"158.06185567010309,148.79381443298968,63.07216494845361,59.47422680412371,74.3917525773196,163.05154639175257,192.84536082474227,177.8556701030928"
543,579,539,497,343,298,204,235,proper,"158.06185567010309,148.79381443298968,63.07216494845361,59.47422680412371,74.3917525773196,163.05154639175257,192.84536082474227,177.8556701030928"
543,579,539,498,343,297,202,233,proper,"158.06185567010309,148.79381443298968,63.07216494845361,59.47422680412371,74.3917525773196,163.05154639175257,192.84536082474227,177.8556701030928"
544,581,542,499,345,297,203,233,proper,"158.06185567010309,148.79381443298968,63.07216494845361,59.47422680412371,74.3917525773196,163.05154639175257,192.84536082474227,177.8556701030928"
543,581,538,499,349,297,202,233,proper,"158.06185567010309,148.79381443298968,63.07216494845361,59.47422680412371,74.3917525773196,163.05154639175257,192.84536082474227,177.8556701030928"
544,580,538,499,350,297,202,234,proper,"158.06185567010309,148.79381443298968,63.07216494845361,59.47422680412371,74.3917525773196,163.05154639175257,192.84536082474227,177.8556701030928"
544,580,539,499,354,297,201,234,proper,"158.06185567010309,148.79381443298968,63.07216494845361,59.47422680412371,74.3917525773196,163.05154639175257,192.84536082474227,177.8556701030928"
544,580,537,500,355,300,202,233,proper,"158.06185567010309,148.79381443298968,63.07216494845361,59.47422680412371,74.3917525773196,163.05154639175257,192.84536082474227,177.8556701030928"
541,580,537,499,358,300,203,234,proper,"158.06185567010309,148.79381443298968,63.07216494845361,59.47422680412371,74.3917525773196,163.05154639175257,192.84536082474227,177.8556701030928"
542,580,537,499,362,300,202,234,proper,"158.06185567010309,148.79381443298968,63.07216494845361,59.47422680412371,74.3917525773196,163.05154639175257,192.84536082474227,177.8556701030928"
540,580,536,499,365,301,202,235,proper,"158.06185567010309,148.79381443298968,63.07216494845361,59.47422680412371,74.3917525773196,163.05154639175257,192.84536082474227,177.8556701030928"
541,579,537,499,364,302,203,234,proper,"158.06185567010309,148.79381443298968,63.07216494845361,59.47422680412371,74.3917525773196,163.05154639175257,192.84536082474227,177.8556701030928"
541,580,538,500,366,302,202,235,proper,"158.06185567010309,148.79381443298968,63.07216494845361,59.47422680412371,74.3917525773196,163.05154639175257,192.84536082474227,177.8556701030928"
