Reading 1,Reading 2,Reading 3,Reading 4,Label,Baseline
548,561,576,560,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
549,562,577,560,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
548,562,576,559,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
549,562,577,560,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
549,562,577,560,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
549,562,577,560,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
549,563,576,559,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
550,563,576,559,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
551,564,577,559,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
550,563,577,559,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
553,567,580,562,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
554,568,581,563,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
555,569,582,563,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
556,570,583,564,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
558,572,584,565,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
559,573,585,565,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
558,572,584,563,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
559,573,584,563,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
561,574,586,564,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
561,575,586,564,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
562,576,586,564,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
561,577,587,564,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
560,576,587,564,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
560,577,587,565,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
559,578,588,565,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
559,578,588,565,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
560,579,589,565,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
561,580,590,566,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
561,579,590,566,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
559,578,590,565,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
557,578,590,565,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
556,577,588,564,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
558,577,587,563,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
558,575,585,561,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
559,576,585,559,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
560,577,586,559,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
558,574,582,553,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
564,579,588,557,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
565,580,589,556,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
566,582,591,555,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
566,582,590,553,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
567,583,590,551,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
568,585,593,550,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
568,588,596,551,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
566,585,593,546,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
569,589,597,545,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
570,590,597,543,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
573,592,601,543,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
570,589,599,533,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
571,588,600,528,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
572,589,602,523,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
573,588,603,517,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
577,589,606,512,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
577,585,606,500,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
581,584,608,491,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
582,580,608,480,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
585,575,611,467,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
589,570,614,458,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
593,569,622,453,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
583,559,619,436,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
570,545,609,420,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
562,537,609,407,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
563,540,617,406,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
574,553,630,413,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
