Reading 1,Reading 2,Reading 3,Reading 4,Reading 5,Reading 6,Reading 7,Reading 8,Label,Baseline
564,642,545,512,347,304,353,357,proper,"192.2680412371134,151.0721649484536,75.41237113402062,71.6082474226804,69.18556701030928,157.71134020618555,189.10309278350516,182.81443298969072"
566,642,545,512,347,303,346,357,proper,"192.2680412371134,151.0721649484536,75.41237113402062,71.6082474226804,69.18556701030928,157.71134020618555,189.10309278350516,182.81443298969072"
563,640,546,510,344,301,345,353,proper,"192.2680412371134,151.0721649484536,75.41237113402062,71.6082474226804,69.18556701030928,157.71134020618555,189.10309278350516,182.81443298969072"
561,638,544,508,344,303,342,343,proper,"192.2680412371134,151.0721649484536,75.41237113402062,71.6082474226804,69.18556701030928,157.71134020618555,189.10309278350516,182.81443298969072"
549,625,547,495,349,307,345,347,proper,"192.2680412371134,151.0721649484536,75.41237113402062,71.6082474226804,69.18556701030928,157.71134020618555,189.10309278350516,182.81443298969072"
553,629,548,497,350,310,347,349,proper,"192.2680412371134,151.0721649484536,75.41237113402062,71.6082474226804,69.18556701030928,157.71134020618555,189.10309278350516,182.81443298969072"
550,627,531,496,350,308,347,350,proper,"192.2680412371134,151.0721649484536,75.41237113402062,71.6082474226804,69.18556701030928,157.71134020618555,189.10309278350516,182.81443298969072"
549,626,528,495,347,305,347,350,proper,"192.2680412371134,151.0721649484536,75.41237113402062,71.6082474226804,69.18556701030928,157.71134020618555,189.10309278350516,182.81443298969072"
550,626,528,494,345,304,348,351,proper,"192.2680412371134,151.0721649484536,75.41237113402062,71.6082474226804,69.18556701030928,157.71134020618555,189.10309278350516,182.81443298969072"
550,626,529,495,344,306,345,348,proper,"192.2680412371134,151.0721649484536,75.41237113402062,71.6082474226804,69.18556701030928,157.71134020618555,189.10309278350516,182.81443298969072"
551,628,530,495,348,309,346,347,proper,"192.2680412371134,151.0721649484536,75.41237113402062,71.6082474226804,69.18556701030928,157.71134020618555,189.10309278350516,182.81443298969072"
550,626,538,493,349,312,347,348,proper,"192.2680412371134,151.0721649484536,75.41237113402062,71.6082474226804,69.18556701030928,157.71134020618555,189.10309278350516,182.81443298969072"
551,628,545,495,350,307,348,348,proper,"192.2680412371134,151.0721649484536,75.41237113402062,71.6082474226804,69.18556701030928,157.71134020618555,189.10309278350516,182.81443298969072"
553,629,547,495,349,309,350,350,proper,"192.2680412371134,151.0721649484536,75.41237113402062,71.6082474226804,69.18556701030928,157.71134020618555,189.10309278350516,182.81443298969072"
554,630,547,496,348,310,349,350,proper,"192.2680412371134,151.0721649484536,75.41237113402062,71.6082474226804,69.18556701030928,157.71134020618555,189.10309278350516,182.81443298969072"
553,631,547,496,350,310,346,347,proper,"192.2680412371134,151.0721649484536,75.41237113402062,71.6082474226804,69.18556701030928,157.71134020618555,189.10309278350516,182.81443298969072"
