Reading 1,Reading 2,Reading 3,Reading 4,Reading 5,Reading 6,Reading 7,Reading 8,Reading 9,Reading 10,Label,Baseline
330,392,406,220,486,322,211,174,330,330,right_leg_cross,"61.34020618556701,67.10309278350516,91.34020618556701,65.4639175257732,79.0721649484536,67.71134020618557,102.87628865979381,115.56701030927834,155.95876288659792,61.49484536082474"
329,375,404,220,482,321,211,173,330,328,right_leg_cross,"61.34020618556701,67.10309278350516,91.34020618556701,65.4639175257732,79.0721649484536,67.71134020618557,102.87628865979381,115.56701030927834,155.95876288659792,61.49484536082474"
333,365,409,224,489,327,213,176,332,333,right_leg_cross,"61.34020618556701,67.10309278350516,91.34020618556701,65.4639175257732,79.0721649484536,67.71134020618557,102.87628865979381,115.56701030927834,155.95876288659792,61.49484536082474"
340,385,417,229,498,334,214,179,332,339,right_leg_cross,"61.34020618556701,67.10309278350516,91.34020618556701,65.4639175257732,79.0721649484536,67.71134020618557,102.87628865979381,115.56701030927834,155.95876288659792,61.49484536082474"
336,375,413,227,493,331,214,178,331,336,right_leg_cross,"61.34020618556701,67.10309278350516,91.34020618556701,65.4639175257732,79.0721649484536,67.71134020618557,102.87628865979381,115.56701030927834,155.95876288659792,61.49484536082474"
335,373,413,228,496,329,211,179,326,335,right_leg_cross,"61.34020618556701,67.10309278350516,91.34020618556701,65.4639175257732,79.0721649484536,67.71134020618557,102.87628865979381,115.56701030927834,155.95876288659792,61.49484536082474"
333,374,410,228,491,328,213,181,326,334,right_leg_cross,"61.34020618556701,67.10309278350516,91.34020618556701,65.4639175257732,79.0721649484536,67.71134020618557,102.87628865979381,115.56701030927834,155.95876288659792,61.49484536082474"
340,389,419,233,502,336,217,184,329,340,right_leg_cross,"61.34020618556701,67.10309278350516,91.34020618556701,65.4639175257732,79.0721649484536,67.71134020618557,102.87628865979381,115.56701030927834,155.95876288659792,61.49484536082474"
342,387,420,235,503,338,219,186,330,342,right_leg_cross,"61.34020618556701,67.10309278350516,91.34020618556701,65.4639175257732,79.0721649484536,67.71134020618557,102.87628865979381,115.56701030927834,155.95876288659792,61.49484536082474"
339,401,417,232,499,335,217,183,327,339,right_leg_cross,"61.34020618556701,67.10309278350516,91.34020618556701,65.4639175257732,79.0721649484536,67.71134020618557,102.87628865979381,115.56701030927834,155.95876288659792,61.49484536082474"
