Reading 1,Reading 2,Reading 3,Reading 4,Reading 5,Reading 6,Reading 7,Reading 8,Label,Baseline
502,543,553,513,522,430,198,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
502,544,553,513,521,429,199,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
502,544,555,513,520,428,199,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
503,544,554,513,520,427,198,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
502,543,555,513,519,427,198,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
502,544,555,514,520,426,198,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
504,546,557,516,520,428,198,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
504,548,558,516,521,428,199,176,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
504,547,558,516,521,428,199,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
504,548,558,516,522,429,199,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
504,548,558,517,522,429,199,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
505,547,558,517,521,429,199,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
504,547,557,517,521,430,199,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
504,546,558,517,522,430,198,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
504,547,558,517,521,430,198,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
504,547,558,516,523,430,199,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
504,547,558,516,522,431,199,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
504,547,558,517,522,430,198,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
504,547,558,517,521,429,199,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
504,547,558,516,519,428,198,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
503,546,557,515,520,429,198,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
504,547,557,516,519,429,198,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
503,547,558,516,521,429,198,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
504,546,557,516,522,430,198,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
504,546,557,516,521,431,198,174,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
504,545,558,516,521,431,198,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
505,546,557,517,522,431,198,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
505,546,558,516,520,432,199,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
505,546,557,516,521,432,198,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
506,545,557,515,522,432,198,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
507,545,557,515,521,432,199,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
507,546,559,516,521,431,199,174,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
508,546,558,516,522,431,198,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
509,546,558,516,522,430,199,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
509,546,558,517,522,431,199,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
509,546,558,517,523,431,199,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
509,547,559,517,524,431,199,176,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
509,546,558,516,524,432,199,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
510,546,558,516,524,432,199,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
512,547,559,517,524,431,199,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
511,547,560,517,524,431,199,176,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
512,547,559,516,524,431,199,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
511,546,558,516,524,431,199,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
511,546,558,516,524,430,200,176,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
512,547,558,517,524,430,199,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
512,546,559,517,522,431,200,176,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
514,546,558,517,521,428,199,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
516,545,558,516,519,427,200,176,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
519,546,559,515,516,423,198,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
506,546,559,513,510,418,198,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
502,540,558,509,508,417,197,175,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
493,535,554,507,506,414,195,173,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
494,538,555,513,512,421,196,173,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
497,540,558,515,516,426,195,172,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
497,539,556,516,517,429,195,172,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
497,540,556,515,514,431,195,172,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
497,539,556,515,511,430,196,172,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
498,540,556,515,511,429,197,172,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
498,540,556,514,511,429,196,172,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
498,539,556,514,511,430,197,172,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
500,540,559,516,511,430,197,173,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
499,539,557,514,512,429,198,173,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
499,537,557,514,510,427,197,174,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
498,537,556,514,509,425,198,173,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
496,534,555,513,508,423,197,173,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
498,536,555,513,508,421,197,173,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
498,536,555,513,508,419,197,173,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
498,535,555,512,508,418,197,173,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
497,534,554,511,509,418,198,173,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
498,534,554,511,510,418,197,173,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
496,534,554,511,511,418,197,173,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
495,532,554,510,509,419,198,174,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
496,534,554,511,508,418,198,173,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
495,533,554,511,506,418,198,173,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
495,534,555,512,505,417,198,173,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
497,535,555,513,504,417,198,173,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
496,535,556,514,506,418,198,174,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
496,536,556,514,507,418,198,173,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
496,535,556,513,509,417,197,173,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
496,535,554,513,509,415,198,174,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
496,536,555,513,498,415,197,174,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
497,537,557,514,499,416,198,173,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
497,536,559,513,502,417,196,172,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
498,540,559,513,503,418,195,172,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
498,541,557,514,504,420,194,172,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
500,544,559,516,507,424,195,171,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
499,542,555,515,508,426,195,171,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
498,542,555,514,509,424,195,171,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
497,540,553,513,508,425,195,172,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
495,541,554,512,510,426,196,172,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
496,540,554,514,510,427,196,173,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
495,541,554,513,512,429,196,172,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
495,540,553,512,512,431,197,172,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
494,541,552,512,513,430,197,172,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
493,538,550,510,513,432,197,172,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
492,539,550,510,513,430,197,171,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
494,540,551,511,513,431,197,172,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
496,543,553,513,514,431,196,172,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
496,542,552,513,514,429,195,173,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
497,543,554,514,516,430,196,173,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
497,544,554,513,516,430,196,172,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
497,544,553,512,513,431,195,172,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
503,549,558,518,511,430,195,172,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
504,550,559,518,510,431,195,172,slouch,"232.08247422680412,152.62886597938143,96.09278350515464,70.16494845360825,69.43298969072166,157.1340206185567,196.1443298969072,169.38144329896906"
