Reading 1,Reading 2,Reading 3,Reading 4,Reading 5,Reading 6,Reading 7,Reading 8,Label,Baseline
530,616,645,649,502,416,208,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
527,616,640,648,504,418,208,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
528,617,626,648,504,417,208,185,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
527,616,642,647,504,417,208,185,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
528,615,645,650,503,417,208,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
528,616,643,650,503,419,209,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
528,616,642,649,502,419,208,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
529,616,642,650,504,418,208,185,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
529,617,642,652,503,419,208,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
529,615,640,651,503,419,209,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
530,616,640,651,502,419,209,185,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
530,616,639,654,503,419,208,185,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
530,615,633,656,502,420,208,185,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
529,616,628,655,502,421,208,185,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
530,616,630,655,504,421,208,185,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
521,615,632,654,503,421,208,185,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
531,615,630,655,504,422,209,185,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
530,615,640,655,504,423,209,185,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
531,615,621,655,504,422,209,185,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
521,614,639,654,504,423,209,185,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
521,616,637,654,505,424,210,185,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
521,616,636,655,505,424,209,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
520,615,642,655,505,425,210,185,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
520,615,621,655,504,425,210,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
519,615,622,656,504,425,210,185,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
519,615,624,656,505,423,209,185,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
520,616,631,656,506,423,209,185,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
519,615,645,655,505,424,209,185,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
519,615,645,656,506,425,209,185,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
519,614,645,655,507,427,210,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
520,616,645,655,508,427,209,185,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
520,615,639,655,509,428,209,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
520,615,641,654,509,429,209,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
519,615,640,656,509,430,209,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
520,615,640,655,509,429,210,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
520,615,633,656,509,429,210,185,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
521,615,628,656,508,429,209,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
520,616,629,656,509,430,210,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
520,616,624,655,508,429,210,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
521,616,621,656,508,429,210,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
520,615,627,656,508,430,210,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
520,614,629,656,506,429,209,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
520,614,626,656,505,430,209,185,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
519,614,626,654,505,431,208,185,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
519,613,649,653,505,432,208,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
519,613,634,651,505,432,207,185,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
519,614,633,648,502,435,208,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
519,613,649,648,499,438,208,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
520,614,641,650,496,440,208,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
520,613,623,657,495,444,208,185,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
519,613,622,657,493,448,207,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
519,612,624,659,490,449,207,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
517,611,623,662,489,452,207,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
517,611,619,661,488,454,207,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
517,611,619,658,487,454,208,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
518,611,617,659,486,458,208,186,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
519,611,621,659,484,462,209,187,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
518,610,634,660,483,464,208,187,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
518,610,634,662,480,464,208,187,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
517,608,638,658,477,467,209,187,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
517,609,638,658,473,469,209,187,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
517,607,646,657,467,471,208,187,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
516,608,643,656,463,473,208,187,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
515,607,645,655,461,474,207,187,slouch,"175.41237113402062,155.4020618556701,91.1340206185567,70.96907216494846,66.95876288659794,142.23711340206185,200.49484536082474,176.22680412371133"
